,Postal_Code,Population
841,3291,51
842,3293,395
843,3301,67721
844,3303,32318
845,3304,16168
846,3307,8159
847,3431,54179
848,3440,2981
849,3441,1035
850,3442,3844
851,3443,1294
852,3444,4335
853,3445,1827
854,3446,12201
855,3447,2733
856,3448,1380
857,3449,4228
858,3450,1015
859,3451,8159
860,3452,11345
861,3455,4612
862,3456,899
863,3457,2348
864,3458,13264
865,3461,16033
866,3462,2738
867,3464,2779
868,3465,5723
869,3466,1938
870,3467,3146
871,3470,5743
872,3561,15845
873,3570,21416
874,3574,4476
875,3575,314
876,3576,3861
877,3579,795
878,3580,3618
879,3581,5202
880,3582,1790
881,3583,1893
882,3584,7909
883,3585,2939
884,3586,1449
885,3588,4431
886,3590,1765
887,3592,2489
888,3593,696
889,3595,1414
890,3597,1081
891,3598,3714
892,3601,515
893,3602,5427
894,3603,3863
895,3604,114
896,3605,2423
897,3607,358
898,3608,7289
899,3609,1976
900,3740,2268
901,3741,10939
902,3743,23568
903,3745,2130
904,3746,579
905,3748,12874
906,3750,1468
907,3751,879
908,3752,1769
909,3753,5054
910,3754,227
911,3755,17130
912,3765,874
913,3766,11029
914,3768,4204
915,3770,602
916,3771,1700
917,3773,17527
918,3774,4008
919,3777,3303
920,3779,2060
921,3780,1115
922,3781,3061
923,3782,3522
924,3784,8289
925,3785,3974
926,3801,47117
927,3809,7852
928,3810,4055
929,3811,17941
930,3812,2057
931,3813,8857
932,3814,6278
933,3816,3786
934,3817,935
935,3818,8243
936,3819,7268
937,3820,62147
938,3823,3900
939,3824,13710
940,3825,13738
941,3826,4172
942,3827,6702
943,3830,3512
944,3832,624
945,3833,32950
946,3835,18880
947,3836,2342
948,3837,3332
949,3838,2222
950,3839,4054
951,3840,7492
952,3841,16785
953,3842,32898
954,3844,4916
955,3845,2029
956,3846,2139
957,3847,455
958,3848,9198
959,3849,4336
960,3850,630
961,3851,6731
962,3852,941
963,3853,584
964,3854,2108
965,3855,3004
966,3856,3575
967,3857,6211
968,3858,9769
969,3860,4767
970,3861,9105
971,3862,10482
972,3864,4461
973,3865,15383
